url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.dallasnews.com/business/2024/11/10/finance/,https://www.dallasnews.com/business/2024/11/10/finance/?outputType=amp,Motley Fool : Amazon is e - commerce and much more,20241110T150000Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/JIALNY2DAMZH7TOUO34Z6LCDMQ.jpg?auth=1ea5b4b30edf9cb02ad20eee3e40ca578b1ecb0461495be4128e73cdbc691df9&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/opinion/letters-to-the-editor/2024/11/10/letters-to-the-editor-the-battle-continues-about-school-vouchers/,https://www.dallasnews.com/opinion/letters-to-the-editor/2024/11/10/letters-to-the-editor-the-battle-continues-about-school-vouchers/?outputType=amp,Letters to the Editor The battle continues about school vouchers,20241110T070000Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/K47RQ6CWSNA75JK6HMXJZ7WPW4.jpg?auth=8a83537e83e282f51520e20f5e63472589c842a0171296140c3bae1db6751ab7&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/opinion/letters-to-the-editor/2024/11/10/letters-to-the-editor-league-of-women-voters-looking-forward-a-mandate-poll-worker/,https://www.dallasnews.com/opinion/letters-to-the-editor/2024/11/10/letters-to-the-editor-league-of-women-voters-looking-forward-a-mandate-poll-worker/?outputType=amp,"Letters to the Editor League of Women Voters , looking forward , a mandate , poll workers",20241110T070000Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/WTKB76RVSVOOGZY5DEYUYC5EQU.jpg?auth=836c3526cc6419e4e0b58a0fa78a8a2a05464bb66219bfa2e8747f4924034e25&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/news/inspired/2024/11/11/100-year-old-veteran-talks-time-on-wwii-battlefields-and-at-heart-of-the-dallas-community/,https://www.dallasnews.com/news/inspired/2024/11/11/100-year-old-veteran-talks-time-on-wwii-battlefields-and-at-heart-of-the-dallas-community/?outputType=amp,100 - year - old veteran talks time on WWII battlefields and at heart of the Dallas community,20241111T113000Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/AL4QPG2NJ5GG7JVV3INKMO4BCI.jpg?auth=62ae24f7fe69fc931eb8e1045bfce5b387488a2abc04dfd49c2ab02ff9da9b7c&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/opinion/editorials/2024/11/11/a-good-sign-from-the-dallas-permitting-office/,https://www.dallasnews.com/opinion/editorials/2024/11/11/a-good-sign-from-the-dallas-permitting-office/?outputType=amp,A good sign from the Dallas permitting office,20241111T090000Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/PXYSPE3H5JEZ5GULUVDU6H43TE.jpg?auth=d6349d785cdbf66002ac1a14bae8c4159af36fd0459b3e1f2d7caedc040f16f8&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/opinion/editorials/2024/11/11/5th-district-elections-shows-why-state-needs-judicial-reform/,https://www.dallasnews.com/opinion/editorials/2024/11/11/5th-district-elections-shows-why-state-needs-judicial-reform/?outputType=amp,5th District elections show why state needs judicial reform,20241111T090000Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/JUBDS6EQ5FGMZIRM2HYQR3GH4A.jpg?auth=8b805f26f489b8200e695c024c83ec858ae393017bf5bca0e06b4086dfdae0dc&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/news/national/2024/11/10/68-magnitude-quake-jolts-cuba-already-beset-by-power-outages-category-3-hurricane/,https://www.dallasnews.com/news/national/2024/11/10/68-magnitude-quake-jolts-cuba-already-beset-by-power-outages-category-3-hurricane/?outputType=amp,"6 . 8 magnitude quake jolts Cuba , already beset by power outages , Category 3 hurricane",20241111T001500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/575IXW4DVECCFYUJJB77CMA2XY.jpg?auth=c052446348b9c65d7fd94791f81f91d51ec5a6d81291eb2b13ca0e03e18a260c&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/business/2024/11/11/whats-closed-for-the-veterans-in-dallas-fort-worth-on-monday/,https://www.dallasnews.com/business/2024/11/11/whats-closed-for-the-veterans-in-dallas-fort-worth-on-monday/?outputType=amp,What closed for Veteran Day in Dallas - Fort Worth on Monday ? ,20241111T164500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/BKIAIXR5EVCHJE3YFVYGUTE6JU.jpg?auth=52c7d27b77de653482b6a0f8c4ea52638ebbe3ab440f831577c8ac95b1b25536&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/business/real-estate/2024/11/11/judge-halts-pepper-square-redevelopment-vote-for-now-what-happens-next/,https://www.dallasnews.com/business/real-estate/2024/11/11/judge-halts-pepper-square-redevelopment-vote-for-now-what-happens-next/?outputType=amp,Dallas judge halts Pepper Square redevelopment vote for now . What happens next ? ,20241111T231500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/GESFU7SHP5FDFEYNDRAPCZCL24.jpg?auth=0c874c8b3d19ea7c6283f2af23f930ed9ccea361bae2e0b8177091ac978d5d8a&smart=true&quality=80,dallasnews.com,English,United States
https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/mtv-europa-premios-peso-pluma-mejor-artista-latino/,https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/mtv-europa-premios-peso-pluma-mejor-artista-latino/?outputType=amp,Peso Pluma se impone en los premios MTV de Europa como Mejor Artista Latino : Video,20241112T011500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/YRIUETEMMVB5JFBQTJ677XFJJU.JPG?auth=a8f1ff73b3b0b8d104ea0cb0468918950b95a04a9fa76a2c905fa55c05bdf9dd&smart=true&quality=80,dallasnews.com,Spanish,United States
https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/diana-bracho-trayectoria-actuacion-operacion-salud/,https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/diana-bracho-trayectoria-actuacion-operacion-salud/?outputType=amp,Diana Bracho asegura que su terapia tras una difícil operación ha sido la actuación,20241112T011500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/V3PU3FQUU5DD3AYEUEM4F3TOFA.JPG?auth=9ba8e70a39709587af028a5fa3d5e8e9800e2c3bd9eaf5e99559c617fda433cf&smart=true&quality=80,dallasnews.com,Spanish,United States
https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/miss-universe-2024-cuando-es-cocina-actividades-reinas-belleza/,https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/miss-universe-2024-cuando-es-cocina-actividades-reinas-belleza/?outputType=amp,Participantes de Miss Universe 2024 tienen un acercamiento con la cocina mexicana,20241112T011500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/3HZNVXKA4VGEVDA2IFWNGTNXHI.JPG?auth=50d39e5bc28538ddb761bf8a2bcd14baf4586d20f8f48f7dd08c787e30924d07&smart=true&quality=80,dallasnews.com,Spanish,United States
https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/investigation-alien-el-enigmna-extraterrestre-docuserie-estreno-netflix-tamaulipas-tampico/,https://www.dallasnews.com/espanol/al-dia/espectaculos/2024/11/11/investigation-alien-el-enigmna-extraterrestre-docuserie-estreno-netflix-tamaulipas-tampico/?outputType=amp,"Netflix estrena  Investigation Alien , docuserie que aborda el fenómeno Ovni en Tamaulipas",20241112T011500Z,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/3DM6KDYXO5GTNN4LGXBDZSDZQI.JPG?auth=59c3d4d0b5238a93f13e97e020c610ab6f6305168c4ad0fbec5a26da81e04d94&smart=true&quality=80,dallasnews.com,Spanish,United States
